出現形,基幹表現,部位,方言地方,標準病名,ICD-10,エビデンス
血の循環が悪くなり支障をきたす,,,-1,出血性ショック,R571,CS
血みどろ,,,-1,出血性ショック,R571,CS
血を見て気分が悪い,,,-1,出血性ショック,R571,CS
血を流しすぎて気を失う,,,-1,出血性ショック,R571,CS
出血が多すぎてショック状態,,,-1,出血性ショック,R571,CS
出血により体から大量の血液が失われることで全身の臓器障害が引き起こされる状態,,,-1,出血性ショック,R571,CS
出血による急激な血圧低下、全身の末梢性循環障害,,,-1,出血性ショック,R571,CS
出血性ショック,,,-1,出血性ショック,R571,CS
出血多量によるショック,,,-1,出血性ショック,R571,CS
出血量増加,,,-1,出血性ショック,R571,CS
循環性ショック,,,-1,出血性ショック,R571,CS
多量出血,,,-1,出血性ショック,R571,CS
大出血,,,-1,出血性ショック,R571,CS
大量な血,,,-1,出血性ショック,R571,CS
大量の出血でショック状態になる,,,-1,出血性ショック,R571,CS
大量出血して危険な状態,,,-1,出血性ショック,R571,CS
吐血,,,-1,出血性ショック,R571,CS
流血による異常,,,-1,出血性ショック,R571,CS
ばてる,-1,-1,-1,暑気あたり,T678,AEX
バテる,-1,-1,-1,暑気あたり,T678,AEX
夏バテ,-1,-1,-1,暑気あたり,T678,AEX
夏ばて,-1,-1,-1,暑気あたり,T678,AEX
60回未満の不整脈,,,-1,徐脈,R001,CS
強い除脈,,,-1,徐脈,R001,CS
高度に脈が少ない状態,,,-1,徐脈,R001,CS
高度の脈拍低下,,,-1,徐脈,R001,CS
徐脈,,,-1,徐脈,R001,CS
心臓の拍動数が異常に減少する状態,,,-1,徐脈,R001,CS
心拍や脈拍がきわめてゆっくりであること,,,-1,徐脈,R001,CS
神経症,,,-1,徐脈,R001,CS
洞性徐脈,,,-1,徐脈,R001,CS
拍動微弱,,,-1,徐脈,R001,CS
不整脈のひどいもの,,,-1,徐脈,R001,CS
不正脈,,,-1,徐脈,R001,CS
脈が1分間に60回以下のとき,,,-1,徐脈,R001,CS
脈がとても遅い,,,-1,徐脈,R001,CS
脈がとぶ,,,-1,徐脈,R001,CS
脈がゆっくり,,,-1,徐脈,R001,CS
脈が異常,,,-1,徐脈,R001,CS
脈が少ない,,,-1,徐脈,R001,CS
脈が速い,,,-1,徐脈,R001,CS
脈が乱れる,,,-1,徐脈,R001,CS
脈の回数がゆっくり,,,-1,徐脈,R001,CS
脈の乱れ,,,-1,徐脈,R001,CS
脈数低下,,,-1,徐脈,R001,CS
脈拍がかなりゆっくりな症状,,,-1,徐脈,R001,CS
脈拍数が少ない,,,-1,徐脈,R001,CS
じょうみゃく,,,-1,徐脈性不整脈,R001,CS
じょみゃく,,,-1,徐脈性不整脈,R001,CS
じょみゃくがふせいみゃく,,,-1,徐脈性不整脈,R001,CS
ちょっと脈が乱れとる,,,-1,徐脈性不整脈,R001,CS
ふせいみゃく,,,-1,徐脈性不整脈,R001,CS
心臓疾患,,,-1,徐脈性不整脈,R001,CS
心拍が遅くなる,,,-1,徐脈性不整脈,R001,CS
心拍数が遅くなる不正脈,,,-1,徐脈性不整脈,R001,CS
不整脈にゆっくりなる,,,-1,徐脈性不整脈,R001,CS
脈が一定ではない,,,-1,徐脈性不整脈,R001,CS
脈が遅くなる不整脈,,,-1,徐脈性不整脈,R001,CS
脈の異常の一種,,,-1,徐脈性不整脈,R001,CS
脈の少ない不整脈,,,-1,徐脈性不整脈,R001,CS
消化が悪い,-1,-1,-1,消化不良症,K30,AEX
消化不良,-1,-1,-1,消化不良症,K30,AEX
腕がパンパン,パンパン,腕,-1,上肢浮腫,R600,Web
おなかいた,,,-1,上腹部痛,R101,CS
おなかの右上が痛い,,,-1,上腹部痛,R101,CS
おなかの上がいたい,,,-1,上腹部痛,R101,CS
お腹の右の上が痛い,,,-1,上腹部痛,R101,CS
お腹の右上あたりが痛い,,,-1,上腹部痛,R101,CS
お腹の右上が痛い,,,-1,上腹部痛,R101,CS
お腹の右上の痛み,,,-1,上腹部痛,R101,CS
お腹の左上が痛む,,,-1,上腹部痛,R101,CS
お腹の上が痛い,,,-1,上腹部痛,R101,CS
お腹の上の部分が痛い,,,-1,上腹部痛,R101,CS
お腹の上の方が痛い,,,-1,上腹部痛,R101,CS
お腹の上部が痛い,,,-1,上腹部痛,R101,CS
お腹の上部の痛み,,,-1,上腹部痛,R101,CS
お腹右上部の痛み,,,-1,上腹部痛,R101,CS
どこか痛い,,,-1,上腹部痛,R101,CS
ぶつう,,,-1,上腹部痛,R101,CS
みぎのはらがいたい。,,,-1,上腹部痛,R101,CS
みぞおちが痛い,,,-1,上腹部痛,R101,CS
みぞおちの下の痛み,,,-1,上腹部痛,R101,CS
わき腹が痛む,,,-1,上腹部痛,R101,CS
異が痛い,,,-1,上腹部痛,R101,CS
胃がいたい,,,-1,上腹部痛,R101,CS
胃が痛い,,,-1,上腹部痛,R101,CS
胃のあたりが痛い,,,-1,上腹部痛,R101,CS
胃の辺りが痛い,,,-1,上腹部痛,R101,CS
右の肌が痛い,,,-1,上腹部痛,R101,CS
右の腹部が痛い,,,-1,上腹部痛,R101,CS
右の肋骨辺りの痛み,,,-1,上腹部痛,R101,CS
右胸上部の痛み,,,-1,上腹部痛,R101,CS
右上あたりのお腹の痛み,,,-1,上腹部痛,R101,CS
右上のおなかが痛い,,,-1,上腹部痛,R101,CS
右上のお腹が痛い,,,-1,上腹部痛,R101,CS
右上腹が痛い,,,-1,上腹部痛,R101,CS
右上腹部打撲,,,-1,上腹部痛,R101,CS
右側のお腹の上の方が痛い,,,-1,上腹部痛,R101,CS
右側の腹が痛むこと,,,-1,上腹部痛,R101,CS
右側上部の胸が痛い,,,-1,上腹部痛,R101,CS
右腹の上の方が痛い,,,-1,上腹部痛,R101,CS
右脇腹が痛い,,,-1,上腹部痛,R101,CS
横っ腹が痛い,,,-1,上腹部痛,R101,CS
左のお腹上部の痛み,,,-1,上腹部痛,R101,CS
左のわきの下が痛い,,,-1,上腹部痛,R101,CS
左わき腹痛,,,-1,上腹部痛,R101,CS
左上のお腹が痛い,,,-1,上腹部痛,R101,CS
左上の腹部の痛み,,,-1,上腹部痛,R101,CS
左上腹痛,,,-1,上腹部痛,R101,CS
左上腹部打撲,,,-1,上腹部痛,R101,CS
左側うえの腹の痛み,,,-1,上腹部痛,R101,CS
上の腹が痛い,,,-1,上腹部痛,R101,CS
上腹部が痛い,,,-1,上腹部痛,R101,CS
上腹部痛,,,-1,上腹部痛,R101,CS
上腹部疼痛,,,-1,上腹部痛,R101,CS
潰瘍,,,-1,上腹部痛,R101,CS
腹の左上が痛い,,,-1,上腹部痛,R101,CS
腹の左上の痛み,,,-1,上腹部痛,R101,CS
腹の上の方が痛い,,,-1,上腹部痛,R101,CS
腹部の右上が痛むこと,,,-1,上腹部痛,R101,CS
腹部の上の方の痛み,,,-1,上腹部痛,R101,CS
腹部右側の痛み,,,-1,上腹部痛,R101,CS
腹部上部の痛み,,,-1,上腹部痛,R101,CS
しょくどうポリープ,-1,食道,-1,食道ポリープ,K228,AEX
食道ポリープ,-1,食道,-1,食道ポリープ,K228,AEX
あまり食べたくない,,,-1,食欲不振,R630,CS
おなかがへらない,,,-1,食欲不振,R630,CS
おなかが減りにくい,,,-1,食欲不振,R630,CS
お腹がすかない,,,-1,食欲不振,R630,CS
お腹が減らない,,,-1,食欲不振,R630,CS
お腹すかない,,,-1,食欲不振,R630,CS
お腹空かない,,,-1,食欲不振,R630,CS
お腹減らない,,,-1,食欲不振,R630,CS
ぐいだぐねんだ,,,-1,食欲不振,R630,CS
ごはんが減る,-1,-1,-1,食欲不振,R630,AEX
ご飯が減る,-1,-1,-1,食欲不振,R630,AEX
しょくじが減る,-1,-1,-1,食欲不振,R630,AEX
しょくよくがない,,,-1,食欲不振,R630,CS
しょくよくがなく,-1,-1,-1,食欲不振,R630,AEX
しょくよくが減る,-1,-1,-1,食欲不振,R630,AEX
しょくよくが落ちる,-1,-1,-1,食欲不振,R630,AEX
しょくよくふしん,,,-1,食欲不振,R630,CS
しょくよく低下,-1,-1,-1,食欲不振,R630,AEX
しょくよく不振,-1,-1,-1,食欲不振,R630,AEX
たべたくない,,,-1,食欲不振,R630,CS
たべたなくなる,,,-1,食欲不振,R630,CS
たべるきがひくい,,,-1,食欲不振,R630,CS
たべれん,,,-1,食欲不振,R630,CS
胃の調子が悪い,,,-1,食欲不振,R630,CS
何も食べたくない,,,-1,食欲不振,R630,CS
拒食,,,-1,食欲不振,R630,CS
少食,,,-1,食欲不振,R630,CS
食う気がしない,,,-1,食欲不振,R630,CS
食う気せえへん,,,-1,食欲不振,R630,CS
食が細い,,,-1,食欲不振,R630,CS
食が進まない,,,-1,食欲不振,R630,CS
食べたいと思わない,,,-1,食欲不振,R630,CS
食べたいものが思い付かない,,,-1,食欲不振,R630,CS
食べたい気が起きない,,,-1,食欲不振,R630,CS
食べたい気持ちがさがる,,,-1,食欲不振,R630,CS
食べたい気持ちが起こらない,,,-1,食欲不振,R630,CS
食べたくなくなった,,,-1,食欲不振,R630,CS
食べたくなくなっている,,,-1,食欲不振,R630,CS
食べたくなくなる,,,-1,食欲不振,R630,CS
食べようと思わない,,,-1,食欲不振,R630,CS
食べられない,,,-1,食欲不振,R630,CS
食べる意欲がない,,,-1,食欲不振,R630,CS
食べる気がおこらない,,,-1,食欲不振,R630,CS
食べる気がしない,,,-1,食欲不振,R630,CS
食べる気が起きない,,,-1,食欲不振,R630,CS
食べる気にならない,,,-1,食欲不振,R630,CS
食べる気持ちが減ってしまう事,,,-1,食欲不振,R630,CS
食べる気力がわかない,,,-1,食欲不振,R630,CS
食べる気力が湧かない,,,-1,食欲不振,R630,CS
食べれない,-1,-1,-1,食欲不振,R630,AEX
食べ物がなかなか食べられなくなる,,,-1,食欲不振,R630,CS
食べ物が減る,-1,-1,-1,食欲不振,R630,AEX
食べ物を食べたいと思わない,,,-1,食欲不振,R630,CS
食事ができない,,,-1,食欲不振,R630,CS
食事が減る,-1,-1,-1,食欲不振,R630,AEX
食事が食べられない,,,-1,食欲不振,R630,CS
食事か進まない,,,-1,食欲不振,R630,CS
食用がない,,,-1,食欲不振,R630,CS
食欲あれへん,,,-1,食欲不振,R630,CS
食欲があまりない,,,-1,食欲不振,R630,CS
食欲がおちる,,,-1,食欲不振,R630,CS
食欲がていか,,,-1,食欲不振,R630,CS
食欲がない,,,-1,食欲不振,R630,CS
食欲がないこと,,,-1,食欲不振,R630,CS
食欲がなく,-1,-1,-1,食欲不振,R630,AEX
食欲がなくなってきた,,,-1,食欲不振,R630,CS
食欲がなくなる,,,-1,食欲不振,R630,CS
食欲がなく食べれない,,,-1,食欲不振,R630,CS
食欲がわかない,,,-1,食欲不振,R630,CS
食欲が以前に比べて低下,,,-1,食欲不振,R630,CS
食欲が下がること,,,-1,食欲不振,R630,CS
食欲が起きない,,,-1,食欲不振,R630,CS
食欲が減る,-1,-1,-1,食欲不振,R630,AEX
食欲が低い,,,-1,食欲不振,R630,CS
食欲が無い,,,-1,食欲不振,R630,CS
食欲が無い状態,,,-1,食欲不振,R630,CS
食欲が落ちた,,,-1,食欲不振,R630,CS
食欲が落ちる,,,-1,食欲不振,R630,CS
食欲が落ちる,-1,-1,-1,食欲不振,R630,AEX
食欲ない,,,-1,食欲不振,R630,CS
食欲なし,,,-1,食欲不振,R630,CS
食欲減退,,,-1,食欲不振,R630,CS
食欲低下,,,-1,食欲不振,R630,CS
食欲低下,-1,-1,-1,食欲不振,R630,AEX
食欲不振,-1,-1,-1,食欲不振,R630,AEX
食欲不良,,,-1,食欲不振,R630,CS
食欲湧かない,,,-1,食欲不振,R630,CS
摂食障害,,,-1,食欲不振,R630,CS
摂食低下,,,-1,食欲不振,R630,CS
前に比べて食べたいと思わなくなった,,,-1,食欲不振,R630,CS
飯を食いたくない,,,-1,食欲不振,R630,CS
不食,,,-1,食欲不振,R630,CS
不振,,,-1,食欲不振,R630,CS
物が食べたかない,,,-1,食欲不振,R630,CS
無食,,,-1,食欲不振,R630,CS
ぬすみあせ,,,-1,寝汗,R619,CS
ねあせ,,,-1,寝汗,R619,CS
ねあせ,-1,-1,-1,寝汗,R619,AEX
ひやあせ,,,-1,寝汗,R619,CS
汗の出る状態の一種,,,-1,寝汗,R619,CS
寝汗,,,-1,寝汗,R619,CS
寝汗,-1,-1,-1,寝汗,R619,AEX
寝汗をかく,,,-1,寝汗,R619,CS
盗汗,-1,-1,-1,寝汗,R619,AEX
発汗,,,-1,寝汗,R619,CS
病気の時にかく寝汗,,,-1,寝汗,R619,CS
夜間発汗,-1,-1,-1,寝汗,R619,AEX
冷や汗,,,-1,寝汗,R619,CS
冷汗,,,-1,寝汗,R619,CS
しんぞうのみゃくがふせいみゃく,,,-1,心雑音,R011,CS
異常な心音,,,-1,心雑音,R011,CS
胸の雑音,,,-1,心雑音,R011,CS
鼓動恩,,,-1,心雑音,R011,CS
心音に雑音が入る,,,-1,心雑音,R011,CS
心音に通常の音以外がある,,,-1,心雑音,R011,CS
心臓から異音がする,,,-1,心雑音,R011,CS
心臓に変な音,,,-1,心雑音,R011,CS
心臓の音がおかしい,,,-1,心雑音,R011,CS
心臓の音に混じる雑音,,,-1,心雑音,R011,CS
心臓の音に雑音が混ざる,,,-1,心雑音,R011,CS
心臓の音に変な音が混じっている,,,-1,心雑音,R011,CS
心臓の雑音,,,-1,心雑音,R011,CS
心臓雑音,,,-1,心雑音,R011,CS
濁音,,,-1,心雑音,R011,CS
聴診器で聞くと雑音が入っとる,,,-1,心雑音,R011,CS
動悸に雑音がまじる,,,-1,心雑音,R011,CS
不静脈,,,-1,心雑音,R011,CS
レントゲン異常,,,-1,心電図異常,R943,CS
異常な図形,,,-1,心電図異常,R943,CS
異常心電図,,,-1,心電図異常,R943,CS
異常心電図波形,,,-1,心電図異常,R943,CS
心筋の異常,,,-1,心電図異常,R943,CS
心臓に異常がある,,,-1,心電図異常,R943,CS
心臓に異常でた,,,-1,心電図異常,R943,CS
心臓の鼓動のグラフの異常,,,-1,心電図異常,R943,CS
心臓病,,,-1,心電図異常,R943,CS
心電図が正常でない,,,-1,心電図異常,R943,CS
心電図が乱れる,,,-1,心電図異常,R943,CS
心電図に異常がある,,,-1,心電図異常,R943,CS
心電図の異常,,,-1,心電図異常,R943,CS
心電図の異常,-1,-1,-1,心電図異常,R943,AEX
心電図の波形がおかしい,,,-1,心電図異常,R943,CS
心電図異常,,,-1,心電図異常,R943,CS
心電図波形の異常,,,-1,心電図異常,R943,CS
心動作異常,,,-1,心電図異常,R943,CS
心拍の異常,,,-1,心電図異常,R943,CS
脈がおかしい,,,-1,心電図異常,R943,CS
心不全,-1,-1,-1,心不全,I509,AEX
きょうつう,,,-1,心窩部痛,R101,CS
しんぞうぶがいたい,,,-1,心窩部痛,R101,CS
マロリーワイス,,,-1,心窩部痛,R101,CS
みぞおちが痛いこと,,,-1,心窩部痛,R101,CS
みぞおちの痛み,,,-1,心窩部痛,R101,CS
みぞおち痛,,,-1,心窩部痛,R101,CS
上腹部の痛み,,,-1,心窩部痛,R101,CS
心臓の下あたりが痛い,,,-1,心窩部痛,R101,CS
心臓の痛み,,,-1,心窩部痛,R101,CS
心臓付近に感じる痛み,,,-1,心窩部痛,R101,CS
げっぷ,,,-1,心窩部不快,R198,CS
しんかぶに不快感を感じる,,,-1,心窩部不快,R198,CS
びまん性肺胞出血,,,-1,心窩部不快,R198,CS
みぞおちあたりが気持ち悪い,,,-1,心窩部不快,R198,CS
みぞおちが快適でない感じ,,,-1,心窩部不快,R198,CS
みぞおちが変,,,-1,心窩部不快,R198,CS
みぞおちの違和感,,,-1,心窩部不快,R198,CS
みぞおちの不快,,,-1,心窩部不快,R198,CS
みぞおちの不快感,,,-1,心窩部不快,R198,CS
みぞおち不快感,,,-1,心窩部不快,R198,CS
みぞおち部分に感じる不快な感覚,,,-1,心窩部不快,R198,CS
胃が悪い,-1,胃,-1,心窩部不快,R198,AEX
胃が重たい,-1,胃,-1,心窩部不快,R198,AEX
胃のつかえ感,-1,胃,-1,心窩部不快,R198,AEX
胃の調子が悪い,-1,胃,-1,心窩部不快,R198,AEX
胃の調子が重たい,-1,胃,-1,心窩部不快,R198,AEX
胃の調子が不調,-1,胃,-1,心窩部不快,R198,AEX
胃の調子の不快感,-1,胃,-1,心窩部不快,R198,AEX
胃の不快感,-1,胃,-1,心窩部不快,R198,AEX
胃の不調,-1,胃,-1,心窩部不快,R198,AEX
胃もたれ,-1,胃,-1,心窩部不快,R198,AEX
機能性胃腸症,,,-1,心窩部不快,R198,CS
胸がイライラする,イライラ,胸,-1,心窩部不快,R198,Web
胸がやむ,,,-1,心窩部不快,R198,CS
消化管の病気,,,-1,心窩部不快,R198,CS
上腹部重圧感,,,-1,心窩部不快,R198,CS
心臓がなんかおかしい,,,-1,心窩部不快,R198,CS
心臓の辺りがおかしい,,,-1,心窩部不快,R198,CS
心窩部不快感,,,-1,心窩部不快,R198,CS
身体の真ん中が不快,,,-1,心窩部不快,R198,CS
慢性胃炎,,,-1,心窩部不快,R198,CS
いしとはかんけいなくこまかくふるえること,,,-1,振戦,R251,CS
ちゅーぶ,,,-1,振戦,R251,CS
ふるえ,-1,-1,-1,振戦,R251,AEX
ふるえる,-1,-1,-1,振戦,R251,AEX
意思とは関係なく震える様子,,,-1,振戦,R251,CS
手の震え,,,-1,振戦,R251,CS
振戦,-1,-1,-1,振戦,R251,AEX
身震い,,,-1,振戦,R251,CS
震え,-1,-1,-1,振戦,R251,AEX
震える,-1,-1,-1,振戦,R251,AEX
無意識な体の震え,,,-1,振戦,R251,CS
律動,,,-1,振戦,R251,CS
かび,-1,-1,-1,真菌症,B49,AEX
真菌,-1,-1,-1,真菌症,B49,AEX
真菌症,-1,-1,-1,真菌症,B49,AEX
しんけいしつ,-1,-1,-1,神経質,R450,AEX
神経質,-1,-1,-1,神経質,R450,AEX
しんけいつう,-1,-1,-1,神経痛,M7929,AEX
神経が痛い,-1,-1,-1,神経痛,M7929,AEX
神経痛,-1,-1,-1,神経痛,M7929,AEX
じんこうかんせつ,-1,-1,-1,人工関節,Z966,AEX
人工関節,-1,-1,-1,人工関節,Z966,AEX
腎が悪い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の数値が悪い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の数値が下がって,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の数値が上がって,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の数値が低い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の数値が落ちる,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の値が悪い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の値が下がって,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の値が上がって,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の値が低い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎の値が落ちる,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機が悪い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機が下がって,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機が低い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機が落ちる,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機能が悪い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機能が下がって,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機能が低い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機能が落ちる,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機能検査異常,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎機能障害,,,-1,腎機能検査異常,R944,CS
腎臓がおかしい,,,-1,腎機能検査異常,R944,CS
腎臓が悪い,,,-1,腎機能検査異常,R944,CS
腎臓が悪い,-1,腎臓,-1,腎機能検査異常,R944,AEX
腎臓が機能してない,,,-1,腎機能検査異常,R944,CS
腎臓が正常に機能しない症状,,,-1,腎機能検査異常,R944,CS
腎臓が働かない,,,-1,腎機能検査異常,R944,CS
腎臓に機能の異常がある,,,-1,腎機能検査異常,R944,CS
腎臓の機能が正常でないこと,,,-1,腎機能検査異常,R944,CS
腎臓の機能に異常がある,,,-1,腎機能検査異常,R944,CS
腎臓の機能に障害が見られる,,,-1,腎機能検査異常,R944,CS
腎臓の機能異常,,,-1,腎機能検査異常,R944,CS
腎臓の働きの異常,,,-1,腎機能検査異常,R944,CS
腎臓機能が悪い,,,-1,腎機能検査異常,R944,CS
腎臓機能の低下,,,-1,腎機能検査異常,R944,CS
腎臓病,,,-1,腎機能検査異常,R944,CS
腎機能が悪い,-1,腎臓,-1,腎機能低下,N289,AEX
腎機能が下がった,-1,腎臓,-1,腎機能低下,N289,AEX
腎機能が低い,-1,腎臓,-1,腎機能低下,N289,AEX
腎機能低下,-1,腎臓,-1,腎機能低下,N289,AEX
腎臓が悪い,-1,腎臓,-1,腎機能低下,N289,AEX
腎臓の機能が下がった,-1,腎臓,-1,腎機能低下,N289,AEX
腎臓の機能が低い,-1,腎臓,-1,腎機能低下,N289,AEX
腎臓の機能低下,-1,腎臓,-1,腎機能低下,N289,AEX
腎臓の数値が上がった,-1,腎臓,-1,腎機能低下,N289,AEX
腎臓の値が上がった,-1,腎臓,-1,腎機能低下,N289,AEX
水ぼうそう,-1,-1,-1,水痘,B019,AEX
水痘,-1,-1,-1,水痘,B019,AEX
水痘症,-1,-1,-1,水痘,B019,AEX
水疱瘡,-1,-1,-1,水痘,B019,AEX
みずぶくれ,-1,-1,-1,水疱症,L139,AEX
水ぶくれ,-1,-1,-1,水疱症,L139,AEX
水疱,-1,-1,-1,水疱症,L139,AEX
寝ているときに息がない,-1,-1,-1,睡眠時無呼吸症候群,G473,AEX
寝てるときに息が止まる,-1,-1,-1,睡眠時無呼吸症候群,G473,AEX
寝息がない,-1,-1,-1,睡眠時無呼吸症候群,G473,AEX
寝息が止まる,-1,-1,-1,睡眠時無呼吸症候群,G473,AEX
無呼吸,-1,-1,-1,睡眠時無呼吸症候群,G473,AEX
寝不足,-1,-1,-1,睡眠障害,G479,AEX
睡眠が取れてない,-1,-1,-1,睡眠障害,G479,AEX
睡眠不足,-1,-1,-1,睡眠障害,G479,AEX
中途覚醒,-1,-1,-1,睡眠障害,G479,AEX
途中で覚める,-1,-1,-1,睡眠障害,G479,AEX
途中で起きる,-1,-1,-1,睡眠障害,G479,AEX
途中で醒める,-1,-1,-1,睡眠障害,G479,AEX
眠りが浅い,-1,-1,-1,睡眠障害,G479,AEX
目が覚める,-1,-1,-1,睡眠障害,G479,AEX
目が醒める,-1,-1,-1,睡眠障害,G479,AEX
夜中に覚める,-1,-1,-1,睡眠障害,G479,AEX
夜中に起きる,-1,-1,-1,睡眠障害,G479,AEX
夜中に醒める,-1,-1,-1,睡眠障害,G479,AEX
さいぼうがたんぱくでぶんりしている,,,-1,髄液蛋白細胞数解離,R838,CS
タンパクがおかしい,,,-1,髄液蛋白細胞数解離,R838,CS
異常な,,,-1,髄液蛋白細胞数解離,R838,CS
細胞が分かれてる,,,-1,髄液蛋白細胞数解離,R838,CS
脳髄液中のタンパク質上昇,,,-1,髄液蛋白細胞数解離,R838,CS
脳脊髄液中に蛋白が増加,,,-1,髄液蛋白細胞数解離,R838,CS
あそこから血,,,-1,性器出血,R31,CS
せいり,,,-1,性器出血,R31,CS
ちがでた,,,-1,性器出血,R31,CS
医者行け,,,-1,性器出血,R31,CS
陰部からの出血,,,-1,性器出血,R31,CS
陰部出血,,,-1,性器出血,R31,CS
局部出血,,,-1,性器出血,R31,CS
股の付近で血が出ている,,,-1,性器出血,R31,CS
性器から血が出た,,,-1,性器出血,R31,CS
性器から血が出る,,,-1,性器出血,R31,CS
性器の出血,,,-1,性器出血,R31,CS
生殖器から血が出ること,,,-1,性器出血,R31,CS
生殖機からの出血,,,-1,性器出血,R31,CS
生理,,,-1,性器出血,R31,CS
不正出血,,,-1,性器出血,R31,CS
せいじょうがんあつりょくないしょう,-1,目,-1,正常眼圧緑内障,H401,AEX
正常眼圧緑内障,-1,目,-1,正常眼圧緑内障,H401,AEX
じーっとしている時にプルプルと手先が震える,,,-1,静止時振戦,R251,CS
じっとしているときでも震えが出ること,,,-1,静止時振戦,R251,CS
しんせん,,,-1,静止時振戦,R251,CS
パーキンソン病,,,-1,静止時振戦,R251,CS
びんぼうゆすり,,,-1,静止時振戦,R251,CS
安静時のふるえ,,,-1,静止時振戦,R251,CS
安静時震え,,,-1,静止時振戦,R251,CS
寝てるときからだがふるえる,,,-1,静止時振戦,R251,CS
かぶれ,-1,-1,-1,接触皮膚炎,L259,AEX
カブレ,-1,-1,-1,接触皮膚炎,L259,AEX
かぶれる,-1,-1,-1,接触皮膚炎,L259,AEX
被れ,-1,-1,-1,接触皮膚炎,L259,AEX
くいだぐね,,,-1,摂食機能障害,R198,CS
しょうかふりょう,,,-1,摂食機能障害,R198,CS
せっしょく,,,-1,摂食機能障害,R198,CS
ダイエット,,,-1,摂食機能障害,R198,CS
ふりょう,,,-1,摂食機能障害,R198,CS
飲食障害,,,-1,摂食機能障害,R198,CS
栄養失調,,,-1,摂食機能障害,R198,CS
拒食症,,,-1,摂食機能障害,R198,CS
虚弱,,,-1,摂食機能障害,R198,CS
口からものを食べてかみ砕いて飲み込むことが難しくなること,,,-1,摂食機能障害,R198,CS
口から飲んだり食べたりできない,,,-1,摂食機能障害,R198,CS
口から食べ物が取れなくなること,,,-1,摂食機能障害,R198,CS
口から物が食べられない,,,-1,摂食機能障害,R198,CS
口から物を食べることが困難,,,-1,摂食機能障害,R198,CS
口から物を食べることが難しい状態,,,-1,摂食機能障害,R198,CS
口にできない,,,-1,摂食機能障害,R198,CS
消化不良,,,-1,摂食機能障害,R198,CS
食えない,,,-1,摂食機能障害,R198,CS
食べたくない,,,-1,摂食機能障害,R198,CS
食べにくい,,,-1,摂食機能障害,R198,CS
食べられなくなる,,,-1,摂食機能障害,R198,CS
食べることができない,,,-1,摂食機能障害,R198,CS
食べることが出来ない,,,-1,摂食機能障害,R198,CS
食べれない,,,-1,摂食機能障害,R198,CS
食べ物が喉を通り辛い,,,-1,摂食機能障害,R198,CS
食事がとれない,,,-1,摂食機能障害,R198,CS
食事が進まない,,,-1,摂食機能障害,R198,CS
食事をほとんどとらなくなってしまう拒食症,,,-1,摂食機能障害,R198,CS
食事不全,,,-1,摂食機能障害,R198,CS
食欲不全,,,-1,摂食機能障害,R198,CS
水分不足,,,-1,摂食機能障害,R198,CS
物が食べられない,,,-1,摂食機能障害,R198,CS
ぜついんしんけいつう,-1,舌,-1,舌咽神経痛,G521,AEX
舌咽神経痛,-1,舌,-1,舌咽神経痛,G521,AEX
舌がイガイガする,イガイガ,舌,-1,舌炎,K140,Web
舌がキンキンする,キンキン,舌,,舌炎,K140,Web
舌がコロコロ,コロコロ,舌,,舌炎,K140,Web
舌がザラザラする,ザラザラ,舌,-1,舌炎,K140,Web
舌がチクチク,チクチク,舌,,舌炎,K140,Web
舌がヒリヒリする,ヒリヒリ,舌,-1,舌炎,K140,Web
舌がビリビリする,ビリビリ,舌,-1,舌炎,K140,Web
舌がピリピリする,ピリピリ,舌,-1,舌炎,K140,Web
舌がいたい,-1,舌,-1,舌痛症,K146,AEX
舌が痛い,-1,舌,-1,舌痛症,K146,AEX
舌のいたさ,-1,舌,-1,舌痛症,K146,AEX
舌のいたみ,-1,舌,-1,舌痛症,K146,AEX
舌の痛さ,-1,舌,-1,舌痛症,K146,AEX
舌の痛み,-1,舌,-1,舌痛症,K146,AEX
舌痛症,-1,舌,-1,舌痛症,K146,AEX
いたい,,,-1,前胸部痛,R072,CS
きょうつぶう,,,-1,前胸部痛,R072,CS
ひだりのまえのむねがいたい,,,-1,前胸部痛,R072,CS
ひだりむね,,,-1,前胸部痛,R072,CS
